gen,pheno,O(HOM),E(HOM),N_SITES,F
site1_male108,site1_male108,1403,1155.5,1622,0.53055
site1_male10,site1_male10,1506,1231.5,1733,0.54734
site1_male110,site1_male110,1481,1242.6,1748,0.47169
site1_male114,site1_male114,1489,1213.9,1706,0.55906
site1_male11,site1_male11,1486,1244.1,1752,0.47629
site1_male16,site1_male16,1429,1189.6,1675,0.49324
site1_male18,site1_male18,1469,1237.2,1743,0.4583
site1_male1,site1_male1,1504,1227.1,1729,0.55172
site1_male20,site1_male20,1286,1064.6,1494,0.51556
site1_male21,site1_male21,1529,1236.5,1742,0.57859
site1_male22,site1_male22,1469,1199,1686,0.55441
site1_male23,site1_male23,1154,909.2,1280,0.66024
site1_male26,site1_male26,1537,1256.6,1769,0.54727
site1_male28,site1_male28,1476,1236.4,1742,0.47394
site1_male29,site1_male29,1405,1139.3,1604,0.57173
site1_male2,site1_male2,1418,1163.7,1637,0.53724
site1_male30,site1_male30,1495,1242.7,1752,0.49537
site1_male32,site1_male32,1508,1255.6,1767,0.49351
site1_male33,site1_male33,1457,1202.7,1693,0.51865
site1_male38,site1_male38,1463,1179.4,1658,0.59254
site1_male3,site1_male3,1414,1175.1,1656,0.49676
site1_male40,site1_male40,1490,1234,1738,0.50796
site1_male42,site1_male42,1516,1236.5,1740,0.55513
site1_male43,site1_male43,1466,1196.5,1686,0.55052
site1_male45,site1_male45,1445,1186.9,1671,0.53311
site1_male46,site1_male46,1464,1234.4,1737,0.45681
site1_male47,site1_male47,1494,1246.2,1753,0.48899
site1_male52,site1_male52,1352,1124.5,1588,0.49084
site1_male55,site1_male55,1318,1047.1,1476,0.63161
site1_male56,site1_male56,1550,1241.5,1748,0.60905
site1_male59,site1_male108,140,114.8,163,0.52239
site1_male5,site1_male5,1443,1193.9,1677,0.51561
site1_male64,site1_male64,1058,849,1193,0.60753
site1_male65,site1_male65,1315,1062.8,1499,0.57814
site1_male66,site1_male66,1494,1225.5,1726,0.53643
site1_male67,site1_male67,1459,1164.4,1642,0.61687
site1_male68,site1_male68,1503,1249.2,1758,0.49884
site1_male6,site1_male6,1450,1148.8,1621,0.63784
site1_male94,site1_male20,1511,1230.9,1735,0.55565
site1_male9,site1_male9,1492,1222,1718,0.5444
site2_male01,site1_male22,1554,1247.4,1757,0.60168
site2_male04,site1_male23,1543,1231.9,1737,0.6159
site2_male05,site1_male26,1539,1235.3,1741,0.60057
site2_male07,site1_male28,1454,1186,1673,0.55034
site2_male09,site1_male29,1511,1237.9,1745,0.53851
site2_male104,site2_male104,1520,1227.2,1729,0.58347
site2_male106,site2_male106,1516,1209.3,1702,0.62247
site2_male108,site2_male108,1560,1217.1,1714,0.69008
site2_male10,site2_male10,1503,1245,1753,0.50783
site2_male11,site2_male11,1522,1238.7,1744,0.56062
site2_male15,site2_male15,1493,1185.7,1670,0.63452
site2_male16,site1_male40,874,691.8,971,0.65254
site2_male18,site2_male18,1509,1201.3,1692,0.62706
site2_male19,site2_male19,1536,1250.2,1760,0.5606
site2_male20,site2_male20,1344,1077.7,1519,0.60342
site2_male23,site2_male23,1367,1086.7,1528,0.63518
site2_male24,site2_male24,1388,1113.2,1569,0.60292
site2_male29,site2_male29,1475,1200.1,1690,0.56114
site2_male32,site2_male32,1467,1154.4,1624,0.66567
site2_male34,site2_male34,1535,1223.2,1721,0.62639
site2_male36,site2_male36,1529,1216.9,1714,0.62786
site2_male37,site2_male37,1535,1220.2,1718,0.63238
site2_male39,site2_male39,1443,1173.6,1652,0.56313
site2_male3,site2_male3,1500,1178.5,1660,0.66768
site2_male40,site2_male40,1297,1032.5,1454,0.62756
site2_male41,site2_male41,1519,1224.9,1724,0.58925
site2_male44,site2_male44,1562,1250.1,1759,0.61292
site2_male47,site2_male47,1504,1243.7,1753,0.51108
site2_male48,site2_male48,1122,897.6,1259,0.62095
site2_male49,site2_male49,1554,1244.4,1749,0.61354
site2_male54,site2_male54,1043,829.5,1166,0.6345
site2_male55,site2_male55,1492,1243.6,1752,0.48855
site2_male58,site2_male58,1490,1246.6,1754,0.47966
site2_male60,site2_male60,1380,1111.6,1563,0.59457
site2_male61,site2_male61,1520,1236.8,1743,0.55946
site2_male64,site2_male64,1493,1193.3,1681,0.61454
site2_male69,site2_male69,1523,1196.4,1681,0.67393
site2_male6,site2_male6,1461,1187.7,1674,0.56203
site2_male70,site2_male70,1457,1166.6,1642,0.61087
site2_male99,site2_male99,1531,1237.9,1741,0.58258
site3_male02,site2_male15,1475,1226.8,1728,0.49525
site3_male03,site2_male16,956,770.2,1082,0.59596
site3_male06,site2_male18,953,765.9,1073,0.60922
site3_male09,site2_male19,147,118.8,167,0.58526
site3_male107,site3_male107,1137,924.5,1303,0.56144
site3_male108,site3_male108,1153,961.5,1350,0.49286
site3_male109,site3_male109,1168,958.6,1348,0.53771
site3_male10,site3_male10,1533,1222.8,1725,0.61765
site3_male111,site2_male32,926,755.1,1060,0.56058
site3_male115,site3_male115,1312,1083.5,1529,0.51287
site3_male12,site3_male12,1485,1232.1,1737,0.50085
site3_male16,site3_male16,1321,1073.9,1512,0.56403
site3_male17,site3_male17,1067,862.9,1211,0.58634
site3_male21,site3_male21,1515,1235.2,1741,0.55319
site3_male22,site3_male22,1527,1259.5,1771,0.52298
site3_male247,site2_male41,488,403.5,568,0.51375
site3_male26,site3_male26,1519,1248.8,1759,0.52956
site3_male28,site3_male28,1473,1241,1746,0.45941
site3_male34,site3_male34,1521,1246.5,1755,0.53985
site3_male36,site2_male49,151,127.9,175,0.48993
site3_male37,site3_male37,1527,1254.3,1766,0.53294
site3_male38,site3_male38,870,997.5,1416,-0.30475
site3_male42,site2_male58,860,675,954,0.66312
site3_male43,site3_male43,949,1074.3,1521,-0.28052
site3_male46,site3_male46,1484,1216.4,1714,0.53776
site3_male47,site3_male47,813,1053.6,1493,-0.54746
site3_male4,site2_male69,926,759,1071,0.53532
site3_male50,site3_male50,1289,1051.8,1485,0.54753
site3_male52,site2_male70,631,514.9,725,0.55265
site3_male53,site3_male53,1081,880.7,1244,0.55132
site3_male57,NA,8,6.8,9,0.53749
site3_male58,site3_male58,1471,1241.9,1750,0.45086
site3_male60,site3_male60,1437,1203,1693,0.47759
site3_male62,NA,706,575.6,810,0.55633
site3_male65,site3_male65,1190,971.3,1365,0.55546
site3_male66,site3_male66,1002,836.5,1187,0.47211
site3_male67,site3_male109,832,684.2,965,0.52627
site3_male69,site3_male69,1245,1022.1,1443,0.52952
site3_male70,site3_male111,863,716.3,1001,0.51532
site3_male8,site3_male8,1485,1239.4,1745,0.48579
site4_male03,site3_male12,1535,1238.6,1742,0.58877
site4_male04,site3_male16,1400,1121.5,1582,0.60479
site4_male05,site3_male17,1344,1051.2,1486,0.6734
site4_male07,site3_male21,1204,983.8,1383,0.55162
site4_male08,site3_male22,1380,1128.4,1589,0.54626
site4_male13,site4_male13,1497,1182.8,1662,0.65566
site4_male17,site4_male17,1185,949.9,1325,0.62675
site4_male18,site4_male18,1460,1165.9,1640,0.62036
site4_male19,site4_male19,1254,1006.3,1412,0.61051
site4_male1,site4_male1,1014,807.2,1130,0.64068
site4_male20,site4_male20,1085,873.7,1222,0.60662
site4_male23,site4_male23,1156,929.7,1308,0.59822
site4_male24,site4_male24,1308,1034.4,1453,0.65361
site4_male25,site4_male25,1390,1124,1579,0.58459
site4_male26,site4_male26,1454,1137.3,1598,0.68742
site4_male29,site4_male29,1488,1183.5,1664,0.63372
site4_male31,site3_male4,952,773.6,1085,0.57294
site4_male33,site4_male33,1365,1106.1,1550,0.58324
site4_male34,site4_male34,1328,1076.8,1512,0.57721
site4_male38,site4_male38,1183,942.5,1324,0.63041
site4_male43,site4_male43,1304,1072.5,1506,0.53404
site4_male44,site4_male44,1333,1080.3,1520,0.57466
site4_male45,site4_male45,1313,1096.4,1539,0.48938
site4_male46,site4_male46,1403,1110.6,1568,0.63929
site4_male48,site3_male65,786,624.8,879,0.63412
site4_male50,site3_male66,894,715.9,1003,0.62033
site4_male51,site4_male51,1485,1201.3,1693,0.57694
site4_male55,site4_male55,1202,960.9,1345,0.62766
site4_male58,site4_male58,1101,878.3,1233,0.62787
site4_male59,site4_male59,1392,1109.6,1564,0.62152
site4_male61,NA,836,671.9,945,0.60093
site4_male65,site4_male65,1296,1051.1,1473,0.58046
site4_male66,site4_male66,1111,883.7,1237,0.64337
site4_male71,site4_male71,1119,892,1252,0.63054
site4_male72,site4_male72,1297,1040.4,1462,0.60866
site4_male73,site4_male73,1498,1179.7,1659,0.66412
site4_male75,site4_male75,1297,1037.5,1459,0.61569
site4_male76,site4_male76,1478,1189,1674,0.59589
site4_male78,site4_male78,1386,1100.7,1551,0.63361
site4_male79,site4_male79,1116,879.8,1230,0.67449
site5_male02,site4_male20,1469,1139.4,1608,0.70339
site5_male03,site4_male23,1395,1118.7,1576,0.60418
site5_male04,site4_male24,1487,1169.5,1647,0.66491
site5_male05,site4_male25,1545,1215.3,1711,0.6651
site5_male07,site4_male26,1339,1053.9,1487,0.65827
site5_male09,site4_male29,1432,1160.1,1635,0.57256
site5_male111,site5_male111,1394,1100.2,1545,0.66049
site5_male115,site5_male115,1448,1140.5,1602,0.66628
site5_male116,site5_male116,1415,1131.1,1593,0.61464
site5_male117,site5_male117,1410,1125.5,1579,0.62731
site5_male11,site5_male11,1443,1148.5,1618,0.62724
site5_male13,site5_male13,1430,1135.3,1600,0.63414
site5_male16,site5_male16,1478,1185.8,1668,0.60599
site5_male18,site5_male18,1389,1113.3,1564,0.61171
site5_male20,site5_male20,1149,918.4,1291,0.61885
site5_male21,site5_male21,1328,1047.5,1474,0.65764
site5_male22,site5_male22,1468,1177.4,1657,0.60588
site5_male23,site5_male23,1428,1138.6,1604,0.62186
site5_male24,site5_male24,1128,895.6,1257,0.64309
site5_male26,site5_male26,1416,1127,1588,0.62693
site5_male27,site5_male27,1488,1182,1664,0.63483
site5_male33,site5_male33,1425,1162.1,1637,0.55357
site5_male37,site5_male37,1543,1241.1,1745,0.59913
site5_male38,site5_male38,1090,876.4,1235,0.5957
site5_male39,site5_male39,1472,1159.4,1633,0.66004
site5_male42,site5_male42,1464,1161.9,1637,0.63585
site5_male43,site5_male43,1350,1084.1,1525,0.60312
site5_male44,site5_male44,1338,1074.2,1506,0.61092
site5_male48,site5_male48,1468,1171.5,1646,0.62489
site5_male52,site5_male52,1494,1215.4,1714,0.55879
site5_male53,site5_male53,1543,1221.4,1716,0.65025
site5_male54,site5_male54,1430,1126,1583,0.66523
site5_male56,site5_male56,1392,1126.3,1584,0.58053
site5_male58,site5_male58,1403,1129.3,1585,0.60057
site5_male_60,NA,1498,1204.4,1696,0.59725
site5_male61,site5_male61,1459,1192.1,1677,0.5504
site5_male_63,site5_male111,1419,1144.6,1605,0.59599
site5_male64,site5_male64,1464,1152.1,1621,0.66519
site5_male65,site5_male65,1502,1207.7,1701,0.59659
site5_male6,site5_male6,1257,1010.9,1424,0.5957
site6_male02,site5_male11,1472,1179.2,1661,0.6077
site6_male06,site5_male13,1381,1100.7,1551,0.62244
site6_male07,site5_male16,1395,1125.9,1580,0.59259
site6_male10,site6_male10,1463,1184.7,1666,0.57821
site6_male11,site6_male11,1474,1188.1,1675,0.58721
site6_male18,site6_male18,1409,1127.9,1588,0.61093
site6_male20,site6_male20,1378,1122.2,1580,0.5588
site6_male24,site6_male24,1252,1020,1436,0.55768
site6_male25,site6_male25,1381,1117.3,1576,0.57491
site6_male26,site6_male26,1439,1138,1599,0.6529
site6_male28,site6_male28,1388,1103.3,1556,0.62886
site6_male30,site6_male30,1234,998.4,1406,0.57806
site6_male31,site5_male37,760,597.3,844,0.65955
site6_male32,site6_male32,1139,919.1,1298,0.58036
site6_male33,site6_male33,1548,1229.9,1731,0.63477
site6_male34,site6_male34,1531,1217.9,1713,0.6324
site6_male37,site6_male37,1409,1123.4,1585,0.6187
site6_male38,site6_male38,1404,1131.6,1592,0.59168
site6_male41,site6_male41,1527,1203.8,1698,0.65396
site6_male43,site6_male43,1376,1097.5,1541,0.62792
site6_male46,site6_male46,1175,939.9,1322,0.61527
site6_male48,site6_male48,1459,1169.4,1649,0.6038
site6_male50,site6_male50,1353,1078.7,1513,0.63158
site6_male54,site6_male54,1292,1043,1468,0.58588
site6_male55,site6_male55,1275,1022.6,1440,0.60465
site6_male58,site6_male58,1443,1144.2,1612,0.63877
site6_male60,site6_male60,1404,1081.2,1519,0.73732
site6_male61,site6_male61,1330,1075.1,1508,0.58883
site6_male63,site6_male63,1177,949.5,1333,0.5932
site6_male68,site6_male68,1456,1165.8,1644,0.60689
site6_male69,NA,896,720,1014,0.5987
site6_male71,site6_male71,1407,1116.8,1570,0.64037
site6_male72,site6_male72,1217,968.6,1363,0.62982
site6_male73,site6_male73,1433,1145.7,1611,0.61742
site6_male74,site6_male74,1263,1028.2,1449,0.55801
site6_male75,site6_male75,1290,1061.9,1494,0.52789
site6_male76,site6_male76,1303,1029.6,1449,0.65187
site6_male78,site6_male78,1421,1135.2,1594,0.62295
site6_male86,site6_male86,1369,1110.6,1564,0.56995
site6_male8,site6_male8,1485,1211.1,1704,0.55572